============================================================
  Generated by:           Encounter(R) RTL Compiler v11.10-s016_1
  Generated on:           Oct 19 2016  08:54:34 am
  Module:                 RouterCC
  Technology libraries:   CORE65GPSVT 
                          CLOCK65GPSVT 
                          CORE65GPSVT_1 
                          CLOCK65GPSVT_1 
                          CORE65GPSVT_2 
                          CLOCK65GPSVT_2 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z_1 
                          IO65LPHVT_SF_1V8_50A_7M4X0Y2Z_2 
                          physical_cells 
  Operating conditions:   nom_1.00V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                           
        Gate          Instances    Area        Library     
HS65_GS_NOR3X4               14     36.400    CORE65GPSVT  
HS65_GS_NOR4ABX18             1     11.960    CORE65GPSVT  
HS65_GS_NOR4ABX2              2      7.280    CORE65GPSVT  
HS65_GS_NOR4X4               11     57.200    CORE65GPSVT  
HS65_GS_OA112X18              1      4.680    CORE65GPSVT  
HS65_GS_OA12X18               8     33.280    CORE65GPSVT  
HS65_GS_OA12X9               19     69.160    CORE65GPSVT  
HS65_GS_OA22X18               6     34.320    CORE65GPSVT  
HS65_GS_OA22X27               1      8.840    CORE65GPSVT  
HS65_GS_OA22X9                9     42.120    CORE65GPSVT  
HS65_GS_OA31X9                1      4.160    CORE65GPSVT  
HS65_GS_OA32X18               3     17.160    CORE65GPSVT  
HS65_GS_OA32X9                1      5.200    CORE65GPSVT  
HS65_GS_OAI112X11             2     12.480    CORE65GPSVT  
HS65_GS_OAI12X12             15     78.000    CORE65GPSVT  
HS65_GS_OAI12X18              5     33.800    CORE65GPSVT  
HS65_GS_OAI12X24              1      8.840    CORE65GPSVT  
HS65_GS_OAI12X3              11     28.600    CORE65GPSVT  
HS65_GS_OAI12X37              1     13.000    CORE65GPSVT  
HS65_GS_OAI12X6               2      6.240    CORE65GPSVT  
HS65_GS_OAI12X9               1      5.200    CORE65GPSVT  
HS65_GS_OAI211X16             1      8.840    CORE65GPSVT  
